"Date","Price","Open","High","Low","Vol.","Change %"
"May 18 2020","5937.40","5902.25","5953.95","5902.25","-","2.37%"
"May 15 2020","5799.77","5741.54","5837.88","5741.54","927.43M","1.01%"
"May 14 2020","5741.54","5904.05","5904.05","5661.14","1.15B","-2.75%"
"May 13 2020","5904.05","5994.77","5994.77","5893.35","1.06B","-1.51%"
"May 12 2020","5994.77","5939.73","6012.98","5911.37","939.77M","0.93%"
"May 11 2020","5939.73","5935.98","5999.13","5898.32","1.04B","0.06%"
"May 07 2020","5935.98","5853.76","5941.86","5853.60","965.87M","1.40%"
"May 06 2020","5853.76","5849.42","5897.44","5839.57","973.10M","0.07%"
"May 05 2020","5849.42","5753.78","5869.45","5753.78","968.60M","1.66%"
"May 04 2020","5753.78","5763.06","5792.85","5702.03","1.04B","-0.16%"
"May 01 2020","5763.06","5901.21","5901.21","5746.06","781.33M","-2.34%"
"Apr 30 2020","5901.21","6115.25","6151.58","5897.91","1.93B","-3.50%"
"Apr 29 2020","6115.25","5958.50","6129.60","5950.83","1.29B","2.63%"
"Apr 28 2020","5958.50","5846.79","5977.76","5835.92","1.20B","1.91%"
"Apr 27 2020","5846.79","5752.23","5855.61","5752.23","792.25M","1.64%"
"Apr 24 2020","5752.23","5826.61","5827.24","5728.80","807.87M","-1.28%"
"Apr 23 2020","5826.61","5770.63","5843.61","5735.93","882.12M","0.97%"
"Apr 22 2020","5770.63","5641.03","5777.06","5641.03","867.00M","2.30%"
"Apr 21 2020","5641.03","5812.83","5812.83","5641.03","888.66M","-2.96%"
"Apr 20 2020","5812.83","5786.96","5823.93","5707.73","822.61M","0.45%"
"Apr 17 2020","5786.96","5628.43","5839.33","5628.43","1.20B","2.82%"
"Apr 16 2020","5628.43","5597.65","5657.63","5577.78","1.07B","0.55%"
"Apr 15 2020","5597.65","5791.31","5791.71","5576.35","1.38B","-3.34%"
"Apr 14 2020","5791.31","5842.66","5894.71","5778.98","1.06B","-0.88%"
"Apr 09 2020","5842.66","5677.73","5842.66","5677.68","1.28B","2.90%"
"Apr 08 2020","5677.73","5704.45","5704.45","5589.73","1.10B","-0.47%"
"Apr 07 2020","5704.45","5582.39","5780.21","5582.39","1.56B","2.19%"
"Apr 06 2020","5582.39","5415.50","5590.58","5415.50","1.21B","3.08%"
"Apr 03 2020","5415.50","5480.22","5486.29","5396.66","1.18B","-1.18%"
"Apr 02 2020","5480.22","5454.57","5552.36","5395.07","1.55B","0.47%"
"Apr 01 2020","5454.57","5671.96","5671.96","5414.72","1.67B","-3.83%"
"Mar 31 2020","5671.96","5563.74","5702.66","5545.85","1.60B","1.95%"
"Mar 30 2020","5563.74","5510.33","5567.20","5351.84","1.13B","0.97%"
"Mar 27 2020","5510.33","5815.73","5815.73","5407.06","1.46B","-5.25%"
"Mar 26 2020","5815.73","5688.20","5815.73","5503.35","1.54B","2.24%"
"Mar 25 2020","5688.20","5446.01","5741.42","5400.47","1.86B","4.45%"
"Mar 24 2020","5446.01","4993.89","5446.01","4993.89","1.58B","9.05%"
